customer_id,age,gender,tenure_months,monthly_charges,total_charges,contract_type,payment_method,internet_service,support_calls,late_payments,churned,churn_probability,estimated_clv,clv_at_risk,risk_category,value_category,retention_strategy
CUST_000001,47,F,16.8,107.31,1939.19,Month-to-month,Electronic check,DSL,2,0,0,0.5373046400865032,2575.44,1383.795862264384,Medium Risk,High Value,Proactive Engagement
CUST_000002,37,M,21.1,58.51,1351.12,Month-to-month,Mailed check,DSL,0,3,0,0.41907381334145716,1404.24,588.4802116466078,Medium Risk,Medium Value,Basic Monitoring
CUST_000003,49,F,60.7,65.88,4115.82,Month-to-month,Mailed check,DSL,5,0,0,0.42634213326555426,1581.12,674.0980737488331,Medium Risk,Medium Value,Basic Monitoring
CUST_000004,62,F,1.2,37.83,-3.72,Two year,Mailed check,Fiber optic,3,1,0,0.11773191960817556,907.92,106.89116445065474,Low Risk,Low Value,No Action Required
CUST_000005,36,F,20.5,45.72,838.75,Month-to-month,Electronic check,DSL,3,3,0,0.6673436229411809,1097.28,732.262810580899,Medium Risk,Low Value,Basic Monitoring
CUST_000006,36,M,46.1,52.43,2426.09,Month-to-month,Electronic check,DSL,2,0,1,0.48860239345742706,1258.32,614.8181637353496,Medium Risk,Low Value,Basic Monitoring
CUST_000007,63,F,6.6,38.86,243.27,One year,Mailed check,Fiber optic,3,0,0,0.08782012031922377,932.64,81.90455701452086,Low Risk,Low Value,No Action Required
CUST_000008,51,F,50.2,59.78,2937.3,One year,Credit card,Fiber optic,1,0,0,0.026666179210974653,1434.72,38.258500637569554,Low Risk,Medium Value,No Action Required
CUST_000009,32,F,1.0,54.82,-62.75,Two year,Electronic check,No,1,2,0,0.2600831597764033,1315.68,342.18621165461826,Low Risk,Medium Value,No Action Required
CUST_000010,48,M,31.6,111.27,3516.77,Month-to-month,Credit card,Fiber optic,3,0,0,0.31502867377657057,2670.48,841.2777727468562,Medium Risk,High Value,Proactive Engagement
CUST_000011,33,M,64.9,35.85,2286.81,One year,Bank transfer,No,2,0,0,0.0,860.4000000000001,0.0,,Low Value,No Action Required
